tweets,labels
gas by my house hit going to chapel hill on sat,positive
theo walcott is still watch rafa and johnny deal with him on saturday,negative
its not that a gsp i just hate nick diaz wait for february,negative
iranian general says iron dome deal with their missiles keep talking like that and we may end up finding out,negative
mon amour obama tried to establish ties with the mullahs via pjmedia com no barack obama vote mitt romney,neutral
i sat through this whole movie just for harry and ron at christmas ohlawd,neutral
with j davlar main rivals are team poland hopefully we an make it a successful end to a tough week of training tomorrow,positive
talking about deciding where i want to go to applying to colleges and everything about college stresses me out,negative
why is happy valentines day trending on the of february not of june smh,neutral
they may have a superbowl in but dallas winning a superbowl not with that quarterback and owner rasmussenpoll,negative
im bringing the monster load of candy i just hope it get all squiched,neutral
apple retail chiefs out in overhaul san francisco apple inc ceo tim cook on monday replaced the heads,neutral
oluoch victor otti kunjand i just watched it comeback u remember her from the sun mornings on nta,positive
one of my best graders kory was excited after his touchdown today he did the victor cruz lol,positive
livewire nadal confirmed for mexican open in february rafael nadal is set to play at the me livewireathletics,neutral
msshelahy i didnt want to just pop up but yep we have chapel hill next wednesday you should come and shes great ill tell her you asked,positive
hmmmm november is an odd release date if true but if it becomes big enough maybe she could sing it at grammys,neutral
iran us delisting mko from global terrorists list in line with iran campaign oct irna secretary,neutral
jackstirling serge is amazing like hes actually a god the lanky sex god i saw kasabian and noel together in august it was amazing,positive
hatersgonnhate hamlikehussain larry bird is ranked all time not including lebron or kobe just sayin,neutral
good morning becky thursday is going to be fantastic swedeng grdina paverlayer fsbull revkahjc dickstrash,positive
expect light moderate rains over e visayas samar leyte have chance of rains tonight expect fair weather tomorrow,neutral
one ticket left for the game tomorrow miss the rematch of the nfc championship game against the ny giants hit me up,positive
afc away fans on saturday all this stuff about the said chant bollocks when he has the just turn your back on him,negative
my saturday night has consisted of me watching the grey with my puppy while my parents throw a rager whaa liamneesonisbosstho,negative
why is it so hard to find the tvguidemagazine these days went to stores for the castle cover issue none will search again tomorrow,negative
game of the nlcs and a rematch of the nfc championship game tomorrow gonna be cuuuuhraaaaaaaazeeeee,neutral
james hall live in indianapolis christ church tixs just be there,neutral
trevorjavier the heat game may cost alot more and plus i would rather see austin rivers play,neutral
never start working on your dreams and goals tomorrow tomorrow never comes if it means anything to act now getafterit,positive
theffaddict i had vick and needed an upgrade vick may get jennings a back up again soon i thought it was a win for me,positive
lisahochstein key fl yay just ur neighbor lisa a sip n a hop away always watching rhom,positive
looks like andy the android may have had a little too much fun yesterday,positive
apgphoto oooh nice tis tempting to go up the lakes with my nikon hmmmm i may do that,positive
black friday huge saving aerial view of a paris las the las vegas las,neutral
